,True Values,Predicted Values,Loss Evaluation,Features
0,67046.33,,,low
1,67026.04,,,high
2,,,,open
3,,,,volume
4,,,,SMA
5,,,,WMA
6,,,,EMA
7,,,,KAMA
8,,,,BBAND_upper
9,,,,BBAND_middle
10,,,,BBAND_lower
11,,,,RSI
12,,,,MACD
13,,,,MACD_Signal
14,,,,MACD_History
15,,,,MOM
16,,,,MFI
17,,,,ROC
18,,,,OBV
19,,,,ATR
